CODIGO;CODIGO_UPL;NOMBRE;TOTAL_SI;TOTAL_NO;PORCENTAJE_SI;PORCENTAJE_NO
01;UPL01;Sumapaz;990.7;2374.9;29.4;70.6
02;UPL02;Cuenca del Tunjuelo;7161.1;16558.4;30.2;69.8
03;UPL03;Arborizadora;106914.0;287201.1;27.1;72.9
04;UPL04;Lucero;54648.5;153835.8;26.2;73.8
05;UPL05;Usme - Entrenubes;70792.3;182684.4;27.9;72.1
06;UPL06;Cerros Orientales;8670.1;24876.6;25.8;74.2
07;UPL07;Torca;3852.9;8087.9;32.3;67.7
08;UPL08;Britalia;63656.6;195649.9;24.5;75.5
09;UPL09;Suba;46687.1;126953.6;26.9;73.1
10;UPL10;Tibabuyes;72611.0;204800.6;26.2;73.8
11;UPL11;Engativá;94318.1;285398.5;24.8;75.2
12;UPL12;Fontibón;57284.3;175938.5;24.6;75.4
13;UPL13;Tintal;64831.3;191399.8;25.3;74.7
14;UPL14;Patio Bonito;64846.9;187492.8;25.7;74.3
15;UPL15;Porvenir;72116.0;173671.4;29.3;70.7
16;UPL16;Edén;73887.8;196883.9;27.3;72.7
17;UPL17;Bosa;81412.8;252274.5;24.4;75.6
18;UPL18;Kennedy;76333.9;228487.1;25.0;75.0
19;UPL19;Tunjuelito;37571.3;117568.9;24.2;75.8
20;UPL20;Rafael Uribe;108196.7;302320.5;26.4;73.6
21;UPL21;San Cristóbal;83060.7;221355.9;27.3;72.7
22;UPL22;Restrepo;54853.1;156968.7;25.9;74.1
23;UPL23;Centro Histórico;48022.3;154890.3;23.7;76.3
24;UPL24;Chapinero;31034.8;109331.3;22.1;77.9
25;UPL25;Usaquén;50691.9;210362.5;19.4;80.6
26;UPL26;Toberín;66991.9;205419.7;24.6;75.4
27;UPL27;Niza;45963.5;163102.1;22.0;78.0
28;UPL28;Rincón de Suba;66351.9;204090.4;24.5;75.5
29;UPL29;Tabora;84851.8;277074.8;23.4;76.6
30;UPL30;Salitre;44456.3;139575.3;24.2;75.8
31;UPL31;Puente Aranda;57503.3;186658.6;23.6;76.4
32;UPL32;Teusaquillo;36929.0;126520.8;22.6;77.4
33;UPL33;Barrios Unidos;31592.1;110255.0;22.3;77.7
